kHz ,Time(UTC),Days,ITU, Station ,Lng,Target, Remarks ,P,Start,Stop, Input     , Type ,Tone Out,Tone In, Alpha Tag , Mode , Tag ,County,City,Agency,Notes,Source,EchoLink(E),IRLP(I),WideArea(x),ARES(s)
145.370,,,,N6SPD,,,Coordinated,,,,144.770,,,100.0,N6SPD RG,FMN,Ham,,King City,,o100.0elrsx,narcc.org,,,y,y
145.410,,,,W6CER,,,Not Coordinated,,,,144.810,,,146.2,CCARN,FMN,Ham,,Salinas,,#o146.2el,narcc.org,E:305210,,,
145.430,,,,N6SPD,,,Coordinated,,,,144.830,,,94.8,N6SPD RG,FMN,Ham,,Salinas,,o94.8esx,narcc.org,,,y,y
145.430,,,,W6MLP,,,Coordinated,,,,144.830,,,85.4,MARES,FMN,Ham,,Milpitas,,o85.4elrs,narcc.org,,,,y
145.450,,,,K6FB,,,Coordinated,,,,144.850,,,100.0,LCARC,FMN,Ham,,Los Gatos,,o100.0elrsx,narcc.org,,,y,y
145.470,,,,K6JE,,,Coordinated,,,,144.870,,,94.8,FPRA,FMN,Ham,,Salinas,,o94.8ersx,narcc.org,,,y,y
145.490,,,,W6RTF,,,Coordinated,,,,144.890,,,100.0,W6RTF,FMN,Ham,,Salinas,,o100.0l,narcc.org,E:141890,,,
146.085,,,,KC6UDC,,,Not Coordinated,,,,146.685,,,100.0,KC6UDC,FMN,Ham,,Salinas,,#o100.0,narcc.org,,,,
146.085,,,,WE6R,,,Coordinated,,,,146.685,,,,WE6R,FMN,Ham,,Monterey,,cers,narcc.org,,,,y
146.085,,,,WB5NVN,,,Not Coordinated,,,,146.685,,,100.0,WB5NVN,FMN,Ham,,Portola Valley,,#o100.0,narcc.org,,,,
146.115,,,,AA6BT,,,Coordinated,,,,146.715,,,100.0,SVECS,FMN,Ham,,San Jose,,o100.0aersx,narcc.org,,,y,y
146.205,,,,KI6AOZ,,,Coordinated,,,,146.805,,,146.2,P.A.R.E,FMN,Ham,,San Jose,,o146.2,narcc.org,,,,
146.355,,,,KD6AOG,,,Not Coordinated,,,,146.955,,,127.3,KD6AOG,FMN,Ham,,San Jose,,#o127.3,narcc.org,,,,
